company,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
BV.1,0.29838709677419356,0.21774193548387097,0.13709677419354838,0.0967741935483871,0.024193548387096774,0.04838709677419355,0.03225806451612903,0.016129032258064516,0.0,0.0,0.056451612903225805,0.0,0.016129032258064516,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,0.0,0.008064516129032258,0.05263157894736842,-0.03571428571428571,0.05555555555555555,-0.07692307692307693,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNFT,0.3191489361702128,0.14893617021276595,0.1276595744680851,0.0851063829787234,0.10638297872340426,0.06382978723404255,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BILL,0.20918367346938777,0.1836734693877551,0.12244897959183673,0.12244897959183673,0.07142857142857142,0.08673469387755102,0.03571428571428571,0.04591836734693878,0.025510204081632654,0.015306122448979591,0.01020408163265306,0.0,0.015306122448979591,0.01020408163265306,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,0.0,0.00510204081632653,0.0,0.0,0.015306122448979591,0.00510204081632653,0.0,0.0,0.0,0.00510204081632653,-0.11904761904761904,0.10810810810810811,0.0,0.12,-0.06666666666666667,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0
BL,0.3804347826086957,0.22282608695652173,0.13043478260869565,0.09239130434782608,0.05434782608695652,0.03804347826086957,0.010869565217391304,0.0,0.0,0.010869565217391304,0.016304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.005434782608695652,0.0,0.010869565217391304,0.005434782608695652,0.0,0.0,0.010869565217391304,0.0,0.014084507042253521,0.047619047619047616,0.12,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ,0.2729591836734694,0.14540816326530612,0.1096938775510204,0.09183673469387756,0.09183673469387756,0.04081632653061224,0.025510204081632654,0.01020408163265306,0.015306122448979591,0.02806122448979592,0.01020408163265306,0.007653061224489796,0.007653061224489796,0.002551020408163265,0.017857142857142856,0.007653061224489796,0.01020408163265306,0.02040816326530612,0.015306122448979591,0.007653061224489796,0.00510204081632653,0.002551020408163265,0.002551020408163265,0.0,0.012755102040816327,0.00510204081632653,0.0,0.007653061224489796,0.017857142857142856,0.007653061224489796,0.018518518518518517,0.08620689655172414,0.022727272727272728,0.05405405405405406,0.05405405405405406,0.0,0.09090909090909091,0.0,0.0,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRDR,0.2318840579710145,0.3188405797101449,0.18840579710144928,0.10144927536231885,0.07246376811594203,0.057971014492753624,0.0,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOX,0.3263254113345521,0.21937842778793418,0.1416819012797075,0.06489945155393052,0.06398537477148081,0.026508226691042046,0.014625228519195612,0.008226691042047532,0.004570383912248629,0.004570383912248629,0.007312614259597806,0.002742230347349177,0.0009140767824497258,0.0018281535648994515,0.008226691042047532,0.002742230347349177,0.006398537477148081,0.002742230347349177,0.005484460694698354,0.011882998171846435,0.005484460694698354,0.002742230347349177,0.008226691042047532,0.010054844606946984,0.008226691042047532,0.002742230347349177,0.011882998171846435,0.011882998171846435,0.005484460694698354,0.008226691042047532,0.2430167597765363,0.44398340248962653,0.4230769230769231,0.2916666666666667,0.09859154929577464,-0.06666666666666667,0.23529411764705882,0.4,0.0,-0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.6,0.5,0.125,0.0,0.0,0.0,0.0,0.75,0.0,0.16666666666666666,0.0,0.0,0.6428571428571429,0.07142857142857142,0.0,-0.1
BOXL,0.3291139240506329,0.22784810126582278,0.11392405063291139,0.0379746835443038,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.0,0.0,0.012658227848101266,0.05063291139240506,0.0,0.0,0.02531645569620253,0.0,0.0,0.02531645569620253,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.05063291139240506,-0.037037037037037035,-0.15789473684210525,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCOV,0.23893805309734514,0.21238938053097345,0.12389380530973451,0.19469026548672566,0.05309734513274336,0.061946902654867256,0.035398230088495575,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.008849557522123894,0.0,0.008849557522123894,0.02654867256637168,0.03571428571428571,0.12,0.06666666666666667,0.08695652173913043,-0.14285714285714285,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSFT.1,0.348993288590604,0.19463087248322147,0.1610738255033557,0.12751677852348994,0.053691275167785234,0.03355704697986577,0.020134228187919462,0.020134228187919462,0.0,0.0,0.0,0.0,0.0,0.006711409395973154,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.006711409395973154,0.0,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.006711409395973154,0.1320754716981132,0.06666666666666667,0.12,0.05,0.2222222222222222,0.16666666666666666,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALX,0.26666666666666666,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMBM,0.423728813559322,0.288135593220339,0.1016949152542373,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.24193548387096775,0.11290322580645161,0.22580645161290322,0.11290322580645161,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.04838709677419355,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,-0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBLK,0.3721590909090909,0.1903409090909091,0.11363636363636363,0.0625,0.02556818181818182,0.048295454545454544,0.019886363636363636,0.0,0.017045454545454544,0.005681818181818182,0.019886363636363636,0.005681818181818182,0.002840909090909091,0.005681818181818182,0.002840909090909091,0.028409090909090908,0.014204545454545454,0.0,0.0,0.019886363636363636,0.005681818181818182,0.005681818181818182,0.0,0.002840909090909091,0.005681818181818182,0.017045454545454544,0.0,0.0,0.002840909090909091,0.005681818181818182,0.06818181818181818,0.20588235294117646,0.04878048780487805,0.043478260869565216,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
CARB.2,0.3445692883895131,0.24344569288389514,0.14232209737827714,0.0898876404494382,0.07865168539325842,0.0299625468164794,0.026217228464419477,0.003745318352059925,0.003745318352059925,0.0,0.003745318352059925,0.0,0.0,0.003745318352059925,0.0,0.0,0.011235955056179775,0.0,0.0,0.003745318352059925,0.003745318352059925,0.0,0.0,0.003745318352059925,0.003745318352059925,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,-0.045454545454545456,0.07692307692307693,-0.2,-0.045454545454545456,0.1111111111111111,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
