company,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m
APTI,20,3,243.7,0.002526969335026707,0.004332079931896202,0.008176437553852067,0.007677252456322436,0.00668286704111809
AQ,13,0,407.9230769230769,0.0019968213160741354,0.0026644807182495322,0.002252419640072841,0.00288335253672319,0.0015954577936542992
ANET,12,2,473.9166666666667,0.008713817816540698,0.00832620411654607,0.0056289941830628834,0.001418336466226124,0.003992577838566875
ARLO,25,0,473.64,0.004154228398701468,0.005062178100429039,0.009491042901168515,0.005805681760675031,0.004016121449683075
TEAM,21,0,402.85714285714283,0.004264507586391393,0.0074129226520385375,0.004260653633996632,0.0031276059292732936,0.0012648482545320548
ATOM,2,0,166.0,0.01048951048951049,0.0,0.0034965034965034965,0.0017482517482517483,0.0
ADNC,6,0,337.3333333333333,0.0033472879632038912,0.0030923301700781594,0.005283493196126476,0.002851256217172145,0.004787461450094731
AVLR,13,1,302.61538461538464,0.007222015044913736,0.0043416472458749945,0.004038070001255716,0.004050814242402083,0.003371474050037266
AVGTF,8,2,508.875,0.0038982384772191024,0.003965259007385581,0.0025301684796084976,0.004966922585986775,0.0023053483357236056
AIOCF,7,0,440.57142857142856,0.0095423721493965,0.005177636061729582,0.003968192960647868,0.006590312964070222,0.0004324636009802508
CUDA,14,0,449.35714285714283,0.008314224067574594,0.008228781214567242,0.006261599225933954,0.0019584918623610724,0.0042160847885810695
BV.1,8,0,381.625,0.00533848692209098,0.011007679788955747,0.002020557119451685,0.0019278635237839758,0.00021891418563922942
BNFT,4,0,323.0,0.001838235294117647,0.005825218600953895,0.007365361685214627,0.007365361685214627,0.0013786764705882354
BILL,10,4,614.1,0.003039173118293141,0.005597046831205944,0.0030631325090776456,0.011635728923689245,0.0017004293755552465
BL,22,4,207.36363636363637,0.0016083954218121213,0.0038630720480326963,0.004280515543184873,0.004519346269586944,0.0029676189184681266
SQ,15,0,717.8,0.005209939097359324,0.006895164608387869,0.0034083580041184597,0.006205562892746524,0.00224771291606492
BRDR,7,0,250.85714285714286,0.002328687648796831,0.005417109211832914,0.0,0.008395575262524258,0.0
BOX,42,1,498.7857142857143,0.006551217748736856,0.005852383032147129,0.0033489742352567856,0.003640197128042385,0.0021420348822200523
BOXL,3,0,281.0,0.0015873015873015875,0.024581109946963605,0.004402101963077574,0.002326399887375497,0.0
BCOV,8,0,512.0,0.009111751904018944,0.00463332734225903,0.0031135234947372204,0.005766355119265676,0.0017573013396018724
BSFT.1,12,2,417.4166666666667,0.008771857824922139,0.00696715945969741,0.008854364611442253,0.0027586816248170915,0.003974493765643696
CALX,2,0,128.5,0.0,0.0,0.012268433321064899,0.0166543982333456,0.0043859649122807015
CMBM,8,1,164.625,0.0007522988703678193,0.004196906035141329,0.0020730730816916933,0.014714597291398502,0.0013377789640446342
CAN,11,0,115.72727272727273,0.0003710575139146568,0.0037623397689778484,0.0027784062627268205,0.0025432559597583877,0.0007421150278293136
CBLK,22,1,349.77272727272725,0.005675073691137797,0.00758238787763219,0.00856275528737496,0.005515101061884555,0.004342434991541747
CARB.2,22,2,421.3636363636364,0.006782010317300454,0.017024033490610626,0.008299774577734585,0.003454636880904066,0.004873298054246861
CASA,10,1,166.4,0.0021005942977954557,0.010574712643678161,0.00200020495287773,0.0024534060373161137,0.0016148484981571135
CDAY,22,0,496.0,0.005692279446730289,0.007032260774501125,0.004278098419461413,0.004377003362906625,0.0023605861780455224
ECOM,5,0,205.6,0.003638764470653552,0.002771463083421489,0.014344775598994336,0.00034662045060658575,0.012958293796567993
CLDR,41,11,518.2682926829268,0.0075334849534412045,0.011840779558658995,0.003576931897368476,0.0026878099968936317,0.0030349770979145097
NET,40,6,503.875,0.004201195032616044,0.007300535063691665,0.00401609254576798,0.002279262047021044,0.0022505755138533924
CLPS,3,0,147.66666666666666,0.002583979328165375,0.0,0.006174819566960706,0.00904392764857881,0.006174819566960706
CDRBQ,2,0,496.0,0.002053388090349076,0.001540041067761807,0.008213552361396304,0.008213552361396304,0.005646817248459959
COMM,2,0,159.5,0.0016501650165016502,0.0033003300330033004,0.0016501650165016502,0.0016501650165016502,0.0016501650165016502
CTRL,4,0,125.0,0.0018796992481203006,0.0,0.0,0.0,0.0
CNVO,11,2,407.09090909090907,0.005238742282125234,0.004341975368325752,0.0026737708926242495,0.003170645795382244,0.0016317910949009528
CTKYY,13,0,332.2307692307692,0.005803906777768425,0.010893049891220929,0.0016624602994318332,0.0023814073387461443,0.001124084503483976
CSOD,11,2,399.09090909090907,0.014010814024072012,0.006731359025252287,0.004658436354240423,0.00253351112268791,0.0034463151421192106
COUP,13,5,354.53846153846155,0.004428906433270031,0.005587716247126548,0.006828441938496898,0.0076552670806205045,0.003515909300871008
COVS,7,0,201.28571428571428,0.0033247314473941257,0.0014694438778208412,0.001847372827178362,0.00547205502328913,0.001847372827178362
PMTS,16,0,437.4375,0.0032218935072168423,0.01516780154576504,0.006130030511409442,0.004486763718927634,0.002643697723057024
CRWD,35,6,462.8,0.004806405971134123,0.009731017591070599,0.009540102543417485,0.004321955929031084,0.007684848314730871
CYNI,3,0,734.0,0.0018726591760299626,0.011071325678067253,0.0032542403566538807,0.0,0.002879708521447888
CYBR,9,3,710.1111111111111,0.009956239479453538,0.0025708063279744034,0.005530010206817753,0.0022141459359121523,0.004053912916209652
DQ,8,3,363.0,0.006331296427678344,0.012919870356173181,0.009703138902109207,0.004577280085010644,0.007477252455282132
DDOG,21,3,431.3809523809524,0.0022184505385865827,0.006199589337185552,0.006278871418515177,0.004149202323731839,0.004869436249773688
DWRE,12,1,435.0833333333333,0.01126963445830189,0.0030047391205378325,0.004007991461873407,0.0025688238412833486,0.001718550087595514
DCBO,3,0,120.0,0.0014749262536873156,0.0,0.004694835680751174,0.02646755656851631,0.004694835680751174
DOCU,43,7,780.1860465116279,0.005762881438465459,0.005844348137026968,0.004257778428063452,0.00280148214536883,0.0029533510786690876
